oa11cd,population
E00042793,169
E00042803,376
E00042808,443
E00042812,160
E00175577,390
E00042807,236
E00042810,339
E00042811,509
E00042814,274
E00042816,200
E00042818,192
E00042819,176
E00042805,265
E00042806,291
E00042823,270
E00042824,336
E00042827,385
E00042828,277
E00042832,273
E00042833,409
E00042840,201
E00042841,237
E00042848,322
E00042850,238
E00042839,230
E00042842,254
E00042846,261
E00042867,298
E00042871,267
E00042834,270
E00042837,246
E00042845,245
E00042852,317
E00042855,262
E00042838,310
E00042844,271
E00042849,293
E00042866,268
E00042869,290
E00042831,504
E00042836,305
E00042843,262
E00042851,251
E00042857,320
E00042863,316
E00042847,282
E00042853,238
E00042859,321
E00042860,259
E00042861,256
E00042835,246
E00042854,234
E00042856,257
E00042858,273
E00042862,245
E00042864,291
E00042865,305
E00042868,243
E00042870,279
E00042872,245
E00042874,554
E00042875,473
E00042899,608
E00042903,388
E00042882,511
E00042888,412
E00042890,384
E00042892,357
E00042881,337
E00042883,319
E00042884,230
E00042885,253
E00042886,289
E00042887,321
E00042876,419
E00042880,402
E00042889,385
E00042891,251
E00042893,292
E00042894,423
E00042895,290
E00042896,332
E00042897,435
E00042878,512
E00042879,437
E00042898,446
E00042902,371
E00042904,335
E00042906,251
E00042907,299
E00042908,302
E00042923,268
E00042905,218
E00042909,264
E00042925,289
E00042926,314
E00042928,320
E00042930,203
E00042910,287
E00042911,328
E00042912,495
E00042913,307
E00042929,234
E00042916,365
E00042919,338
E00042920,346
E00042921,340
E00042924,253
E00042927,232
E00042914,248
E00042915,299
E00042917,284
E00042918,340
E00042922,281
E00042973,489
E00042977,215
E00042978,268
E00043206,288
E00043208,262
E00043216,448
E00166133,271
E00166140,284
E00043226,447
E00043223,427
E00043224,264
E00043329,244
E00043305,330
E00043341,232
E00043308,291
E00043322,325
E00043320,284
E00043321,165
E00043528,239
E00043531,267
E00043533,251
E00043534,285
E00043567,599
E00043568,248
E00043569,221
E00043544,264
E00043545,284
E00043573,287
E00043578,308
E00043579,234
E00043549,773
E00043575,245
E00043577,223
E00043546,295
E00139703,408
E00139704,250
E00139786,351
E00139796,389
E00139797,388
E00139821,225
E00043218,206
E00043220,352
E00042826,616
E00175551,519
E00175553,384
E00175558,398
E00175561,379
E00042830,204
E00175552,248
E00175559,646
E00175575,415
E00175576,302
E00175585,253
E00042693,382
E00042694,244
E00042695,153
E00042697,301
E00175554,716
E00175581,289
E00175586,326
E00042674,416
E00175560,182
E00175563,168
E00175580,277
E00175583,650
E00175566,249
E00175567,340
E00175568,360
E00175569,372
E00175570,405
E00175573,343
E00042168,312
E00042171,317
E00042172,237
E00042175,316
E00042178,337
E00175571,258
E00042677,237
E00042679,897
E00175578,1662
E00175579,222
E00175593,1191
E00175595,110
E00042820,3492
E00042822,396
E00042825,684
E00042829,356
E00175587,146
E00042596,156
E00042598,343
E00042600,841
E00042873,396
E00042877,796
E00042900,694
E00042901,579
