oa11cd,workers
E00042793,311
E00042794,38
E00042795,144
E00042796,28
E00042797,21
E00042798,21
E00042799,19
E00042800,24
E00042801,18
E00042802,33
E00042803,25
E00042805,144
E00042806,101
E00042807,1798
E00042808,15
E00042810,20
E00042811,88
E00042812,201
E00042814,462
E00042816,6
E00042818,14
E00042819,15
E00042820,445
E00042822,471
E00042823,34
E00042824,19
E00042825,584
E00042826,1670
E00042827,556
E00042828,46
E00042829,559
E00042830,22
E00042831,224
E00042832,15
E00042833,79
E00042834,19
E00042835,11
E00042836,198
E00042837,23
E00042838,34
E00042839,7
E00042840,13
E00042841,144
E00042842,18
E00042843,69
E00042844,28
E00042845,9
E00042846,14
E00042847,23
E00042848,12
E00042849,136
E00042850,16
E00042851,129
E00042852,35
E00042853,11
E00042854,206
E00042855,17
E00042856,18
E00042857,41
E00042858,23
E00042859,23
E00042860,27
E00042861,19
E00042862,8
E00042863,23
E00042864,27
E00042865,23
E00042866,19
E00042867,29
E00042868,29
E00042869,46
E00042870,25
E00042871,31
E00042872,19
E00042873,201
E00042874,98
E00042875,95
E00042876,41
E00042877,83
E00042878,82
E00042879,116
E00042880,42
E00042881,29
E00042882,201
E00042883,101
E00042884,16
E00042885,50
E00042886,19
E00042887,117
E00042888,49
E00042889,53
E00042890,31
E00042891,29
E00042892,95
E00042893,222
E00042894,49
E00042895,32
E00042896,56
E00042897,69
E00042898,37
E00042899,688
E00042900,69
E00042901,29
E00042902,149
E00042903,23
E00042904,17
E00042905,14
E00042906,13
E00042907,14
E00042908,123
E00042909,52
E00042910,2200
E00042911,391
E00042912,361
E00042913,72
E00042914,19
E00042915,25
E00042916,142
E00042917,45
E00042918,12
E00042919,12
E00042920,17
E00042921,33
E00042922,42
E00042923,48
E00042924,19
E00042925,121
E00042926,90
E00042927,17
E00042928,449
E00042929,24
E00042930,16
E00175550,367
E00175551,8224
E00175552,449
E00175553,3809
E00175554,645
E00175555,116
E00175556,530
E00175557,63
E00175558,2660
E00175559,3176
E00175560,20
E00175561,159
E00175562,231
E00175563,980
E00175564,391
E00175565,105
E00175566,17
E00175567,34
E00175568,50
E00175569,37
E00175570,38
E00175571,973
E00175572,39
E00175573,34
E00175574,943
E00175575,2150
E00175576,872
E00175577,5714
E00175578,315
E00175579,1647
E00175580,291
E00175581,68
E00175582,61
E00175583,1532
E00175584,572
E00175585,1147
E00175586,290
E00175587,46
E00175588,14
E00175589,799
E00175590,15
E00175591,2166
E00175592,119
E00175593,991
E00175594,1306
E00175595,5
E00175596,61
E00175597,130
E00175598,241
E00175599,23
E00175600,8
E00175601,10
E00175602,21
E00175603,44
E00175604,13
E00175605,22
