oa11cd,x,y
E00042252,420231.41,566537.808
E00042253,418194.845,566558.706
E00042250,418390.365,566583.66
E00042251,420040.117,566624.704
E00042259,418395.407,566300.136
E00042206,427109.076,567739.508
E00042287,423254.695,563969.83
E00042207,426220.972,568071.572
E00042286,422319.452,564009.098
E00042285,422865.015,563930.145
E00042284,423025.478,564034.093
E00042202,425870.427,567860.679
E00042283,422128.598,564083.793
E00042203,427331.276,567920.341
E00042282,423114.922,564266.094
E00042200,426871.82,568183.276
E00042281,422415.001,564088.867
E00042201,425750.884,568046.121
E00042280,422143.975,564230.18
E00042208,427595.238,567715.696
E00042289,423133.749,569026.066
E00042209,426362.867,567677.568
E00042288,423293.846,569036.845
E00042446,424982.223,566612.808
E00042447,425187.717,566668.617
E00042444,425197.184,566763.454
E00042876,422342.075,565960.926
E00042445,425752.682,566602.671
E00042877,423141.78,564703.669
E00042442,425829.157,566043.442
E00042874,423034.788,564717.968
E00042443,425100.529,565702.687
E00042875,422663.174,564622.509
E00042440,426001.423,566035.913
E00042872,417890.339,567537.859
E00042441,425583.103,565934.021
E00042873,422844.09,565040.678
E00042870,417970.558,567739.948
E00042871,418320.254,567489.512
E00042448,425200.512,566586.785
E00042449,424943.079,566886.827
E00042878,422595.146,564899.801
E00042879,422455.212,564686.666
E00042436,427140.435,565423.209
E00042437,426950.835,565414.123
E00042826,424489.197,564175.071
E00042434,426957.432,565532.502
E00042827,423570.211,563833.968
E00042435,427115.919,565349.963
E00042824,423466.387,564135.968
E00042432,427263.759,565640.015
E00042825,424050.252,564072.145
E00042433,427090.004,565603.233
E00042822,424222.538,564145.224
E00042430,427511.473,565774.566
E00042823,423574.224,564174.761
E00042431,427367.639,565719.202
E00042820,423991.422,564565.018
E00042438,426975.994,565288.855
E00042439,425388.244,566260.938
E00042828,423794.754,564064.009
E00042829,424377.006,563979.573
E00042176,423970.671,570077.413
E00042897,422459.758,565092.288
E00042177,423799.506,569890.235
E00042896,422688.08,565240.287
E00042814,423785.013,563479.727
E00042174,423807.962,570212.733
E00042895,422588.253,565347.922
E00042175,424405.657,570165.792
E00042894,422294.653,565612.471
E00042172,424566.3,570226.967
E00042893,422351.665,565388.809
E00042173,424166.982,570309.295
E00042892,421843.915,565659.051
E00042810,423557.975,563558.009
E00042170,424038.422,570373.814
E00042891,422406.717,565671.859
E00042811,423300.376,563705.327
E00042171,424746.221,570171.02
E00042890,422075.622,565670.638
E00042818,423439.774,563346.668
E00042178,424191.279,569986.32
E00042899,423090.585,564493.439
E00042819,423390.204,563376.184
E00042179,427074.76,567374.382
E00042898,422659.629,564993.182
E00042126,426809.769,564563.421
E00042127,426901.974,564990.166
E00042124,427383.86,563618.4
E00042125,426697.543,564944.451
E00042122,427857.407,563773.766
E00042123,427628.156,563550.061
E00042120,427850.467,564005.968
E00042121,427440.864,563924.039
E00042128,426742.74,564900.768
E00042129,426928.194,564853.321
E00042116,427304.188,564279.097
E00042197,426922.841,568296.005
E00042117,427251.687,563546.749
E00042196,426476.459,566378.154
E00042677,425836.925,564376.925
E00042114,426607.15,564185.687
E00042674,426029.173,564380.359
E00042115,426909.576,564364.111
E00042194,426797.491,566799.679
E00042112,427167.294,565066.257
E00042193,426762.891,566622.831
E00042672,425416.085,564871.658
E00042113,427305.179,564428.803
E00042192,427656.116,566766.596
E00042673,425551.314,564748.026
E00042110,427493.757,564168.221
E00042670,425661.382,564790.322
E00042111,427136.175,565182.487
E00042190,426971.839,567984.389
E00042118,427357.251,564100.285
E00042199,426690.074,568161.549
E00042198,426198.032,568275.524
E00042679,425510.211,564221.309
E00042626,417070.951,566526.471
E00042627,416034.815,566245.824
E00042624,415204.461,566483.498
E00042625,416846.543,566460.87
E00042622,414946.117,566897.075
E00042623,416056.423,566702.426
E00042620,415723.46,566699.617
E00042621,415874.164,566548.123
E00042628,416073.37,566457.43
E00042629,415700.149,566413.41
E00042616,415938.471,567042.745
E00042697,420537.129,564223.236
E00042617,415696.714,567056.748
E00042614,415955.416,566897.907
E00042695,420878.323,564440.884
E00042366,425035.207,568398.777
E00042615,415208.872,566694.738
E00042694,419852.739,564365.578
E00042367,423392.791,568598.859
E00042612,416469.892,565411.064
E00042693,420305.087,564417.223
E00042613,416116.005,567014.428
E00042365,425266.978,568644.078
E00042610,416929.494,566116.198
E00042691,420248.247,564577.768
E00042362,423132.776,568239.77
E00042611,416413.906,565590.875
